"*根據2024 QS世界大學排名，本校排名為219。Based on 2024 QS World University Ranking, NYCU is ranked 217th.",,,,,Last Update,2024/12/4,,,,,,,,,,,,,,,,,,,
"***系所年級/語言能力/在校成績限制依照姐妹校規定表述，但姐妹校可能隨時調整規定，請依照姐妹校官網為準。系所以主修或雙主修為準，年級以出國交換時之年級為準。All requirements are set by partner institutions; however, institutions can update their requirements from time to time. Please refer to their website for most updated information. Double major can be used to fuifill the home department requirements. The year of study requirment refers to the year of study during exchange.",,,,,,,,,,,,,,,,,,,,,,,,,
紫色字體校名者為「拓荒者計畫」學校，率取且符合本校出國交換獎學金標準之學生，可優先獲得較高額補助。Instiition names in purple are part of the Trailblazer program that students accepted and fulfilled NYCU's requirements of the outbound exchange student scholarships will be granted higher amount of scholarships.,,,,,,,,,,,,,,,,,,,,,,,,,

"國家
Country","學校
Institution","排名*
Ranking","名額**
Quota","系所年級限制***
Eligibility","語言能力限制***
Language Requirement","成績限制***
Grade Requirement","備註
Remarks",,,,,,,,,,,,,,,,,,
"France
法國","École des mines de Saint-Étienne (EMSE)
聖艾蒂安礦業學院",N/A,4/sem.,"全校研究所學生
U-wide PG students","iBT72/IELTS5.5/
French B1",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"具備法文能力者可選擇With French proficiency, students can choose either ICM or ISMIN
僅有英文能力者可選擇With English proficiency only, students can take one of the 8 English-taught MSc programs",,,,,,,,,,,,,,,,,,
"France
法國","IMT Atlantique
南特國立高等礦業學校",N/A,4 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",French B2 or iBT72/IELTS5.5	,,參考網頁 Link,,,,,,,,,,,,,,,,,,
"France
法國","Institut Polytechnique de Paris
(École Polytechnique)
巴黎綜合理工學院",46,4 students,"數學、資訊、經濟以及物理領域之大學部以及研究所學生
UG & PG students in the fields of Mathematics, Computer Science, Economics and Physics",iBT94/IELTS5.5/French B2,GPA3.3/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"秋季入學開放給學士跟碩士 Open to applications for the Undergraduate level – Bachelor program and Graduate level
春季入學只開放學士Open to applications for the Undergraduate level – Bachelor program only.",,,,,,,,,,,,,,,,,,
"France
法國","Jean Monnet University, Saint Etienne
聖太田大學",N/A,4 sem. slots,"電機、資訊學院大學部及碩士班學生
UG & Master students of the College of ECE & CS",French or English B2,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Exchange to Telecom Saint-Etienne,,,,,,,,,,,,,,,,,,
"France
法國","University of Bordeaux
波爾多大學",535,4 sem. slots,"全校大學部二年級以上及研究所學生
U-wide UG yr.2 above & PG students",法文B1 or iBT72/IELTS5.5,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"分為三個校區 There are three campuses:
-Carreire: Health, Human Sciences
-Pessac: Law, Political Sciences, Economics, Management
-Talence: Science and Technology",,,,,,,,,,,,,,,,,,
"France
法國","INSA Strasbourg
國立史特拉斯堡應用科學學院",N/A,4 sem. slots,"工學院大學部三年級以上及碩班學生
UG yr.3 above & Master students of the College of Engineering",法文French B1+30hr密集法文課Intensive French Course or 法文French B2        ,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Courses taught in English,,,,,,,,,,,,,,,,,,
,,,,,,,"大部份課程為法語授課 Most courses are taught in French
每個領域至多2人 Up to 2 students in each specialty",,,,,,,,,,,,,,,,,,
"France
法國","Rennes School of Business
雷恩商學院",N/A,5 sem. slots,"管院大學部三年級以上及碩班學生
UG yr.3 above & Master students of the College of Management","iBT72/IELTS5.5
/TOEIC750",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Brochure,,,,,,,,,,,,,,,,,,
,,,,,,,Level 2 Courses,,,,,,,,,,,,,,,,,,
,,,,,,,Level 3 Courses,,,,,,,,,,,,,,,,,,
,,,,,,,Level 4 Courses,,,,,,,,,,,,,,,,,,
,,,,,,,Level 5 Courses,,,,,,,,,,,,,,,,,,
"France
法國","Université Toulouse III – Paul Sabatier (UPS)
圖盧茲第三大學",580,5 students,"全校大學部學生
U-wide UG students",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"英語授課課程多為商管課程
Most English-taught courses are Business & Management related",,,,,,,,,,,,,,,,,,
"France
法國","KEDGE Business School
KEDGE高等商業學院",N/A,8 sem. slots,"管院、應藝所大學部及碩班 非博士班學生
Students of the College of Management and Institute of Applied Arts (PhD students not applicable)","iBT79/IELTS6/
TOEIC785",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,分為兩個校區，商管課程兩個校區都有，Business management programs are available in 2 campuses (Bordeaux and Marseille),,,,,,,,,,,,,,,,,,
"France
法國","Université Paris-Saclay
(CentraleSupélec)
中央理工-高等電力學院",73,5 sem. slots (2 of them for students of the College of EE),"全校理工領域大學部及研究所學生
UG & PG students in the field of science & technology","Courses taught in French: French B1
Courses taught in English: iBT72/IELTS5.5/TOEIC750",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Course Catalog,,,,,,,,,,,,,,,,,,
"France
法國","Burgundy School of Business
勃根地商學院",N/A,6 sem. slots,"管院學生
Students of the College of Management","IELTS6/TOEIC750
iBT80/CEFR B1 or
TCF 4/French B2",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Video,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"France
法國","University Paris-Est Créteil (UPEC)
巴黎第十二大學",N/A,4 sem. slots,"管院大學部三年級以上及研究所學生
UG yr.3 above & PG students of the College of Management",法檢 French B2/ iBT87/IELTS6/English B1,,管院參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Courses in English,,,,,,,,,,,,,,,,,,
,,,4 sem. slots,"理工領域大二以上及研究所學生
UG yr. 2 and PG students in field of Science & Engineering",,,"限生科、資訊、生醫、應化、環工領域同學申請 Restricted to stduents in Biological Sci., CS, Biomedical Sci., Applied Chemistry and Environment Engineering",,,,,,,,,,,,,,,,,,
,,,,,,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Courses in English,,,,,,,,,,,,,,,,,,
"France
法國","Institut Polytechnique de Paris
(Telecome SudParis) (TSP)
南巴黎電信學校",46,2 students,"相關領域大四下或研究所學生
UG last semester & PG students in relevant field of study",English (min. B2 CEFR level) or/and French (min. B2 CEFR level) ,,參考網頁 Link,,,,,,,,,,,,,,,,,,
"France
法國","University of Technology of
Compiégne (UTC)
貢比涅技術大學",N/A,6 sem. slots,"全校大學部三年級以上及碩士班學生
U-wide UG yr.3 above & Master students","English A2
(iBT31/ IELTS4)",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Courses in English,,,,,,,,,,,,,,,,,,
,,,,,,,"大部分課程為法語授課，機械、資工及生醫領域有大學部英語授課課程；少數研究所課程在秋季班有英語授課 Most courses are taught in French; however, there are English-taught courses in Mechanical Engineering, Informatics Engineering and Biological Engineering. Some English-taught courses at PG level are offered in Fall semester.",,,,,,,,,,,,,,,,,,
"France
法國","Institut Supérieur d’Electronique de Paris (ISEP)
巴黎高等電子學院",N/A,4 students,"全校大學部三年級以上及碩士班學生
U-wide UG yr.3 above & Master students",iBT79/IELTS6.5,,課程列表 Course Catalog,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"僅可申請該校之理工相關課程
Can only apply for Science & Engineering related courses",,,,,,,,,,,,,,,,,,
"France
法國","Sup'Biotech Paris
生物技術高等學院",N/A,10 sem. slots,"理學院及生科院大學部三年級以上及碩班學生
UG yr.3 above & Master students of the College of Science and College of Biological Science and Technology","UG: iBT70/IELTS6
PG: iBT80/IELTS6.5",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Brochure,,,,,,,,,,,,,,,,,,
,,,,,,,大學部課程 UG Courses,,,,,,,,,,,,,,,,,,
,,,,,,,研究所課程 PG Courses,,,,,,,,,,,,,,,,,,
"France
法國","INSA Toulouse
國立圖盧茲應用科學學院",N/A,8 sem. slots,"資訊院大學部及碩士班學生
UG & Master students of the College of Computer Science","建議英文B2 或法文B1以上
Recommended English B2 or French B1",,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,英語課程 English-taught programs,,,,,,,,,,,,,,,,,,
,,,,,,,"大部分課程為法文授課，有些碩士program及大學部春季班課程為100%英語授課
Most courses are taught in French, but some master programs and bachelor-level spring semesters are 100% English.
每個領域至多2人 Up to 2 students in each specialty",,,,,,,,,,,,,,,,,,
"France
法國","JUNIA        
朱尼亞工程研究院",N/A,4 sem. slots,"資訊院及工學院研究所學生
PG students of the College of Computer Science and College of Engineering",French or English B1,,"參考網頁 Link
Fact Sheet",,,,,,,,,,,,,,,,,,
"France
法國","        University of Technology of Troyes
特魯瓦科技大學",N/A,4 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",,,"參考網頁 Link
Courses in English",,,,,,,,,,,,,,,,,,
"France
法國","ESME School of Engineering
機電特殊大學",N/A,6 sem. slots,"資訊學院大學部及研究所學生
UG & PG students of the College of Computer Science",,,"參考網頁 Link
Undergraduate Program: 1 program 100% taught in English in Paris, Lyon and Lille campuses
Graduate Program: 3 programs 100% taught in English in South Paris campus",,,,,,,,,,,,,,,,,,
"Germany
德國","Friedrich-Alexander-Universität Erlangen-Nürnberg
(FAU) 
愛爾朗根-紐倫堡大學",340,4 students,"工學院大學部四年級及研究所學生
UG yr.4 & PG students of the College of Engineering",English B2,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"赴該校機械系交換，英文授課課程主要為機械工程及國際生產工程與管理相關
Exchange to FAU’s Department of Mechanical Engineering; English-taught courses are mostly about Mechanical Engineering & International Production Engineering & Management",,,,,,,,,,,,,,,,,,
"Germany
德國","Reutlingen University
羅特林根大學",N/A,24 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",iBT72/IELTS5.5,,fact sheet,,,,,,,,,,,,,,,,,,
,,,,,,,參考網頁 Link,,,,,,,,,,,,,,,,,,
"Germany
德國","Saarland University
沙爾大學",601-610,2 students,"資訊院學生
Students of the College of Computer Science",German B1,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"Germany
德國","University of Stuttgart
斯圖加特大學",314,6 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students","Take courses in German: 德檢C1 or 德檢A2+赴該校上密集德文課程 German C1 or German A2 + intensive German course
Take courses in English: iBT72/IELTS5.5+ intensive German course",GPA2.0/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Course Info.,,,,,,,,,,,,,,,,,,
,,,,,,,申請此校請上傳符合語言能力之說明 Please upload a document to explain how you fulfill the language requirements.,,,,,,,,,,,,,,,,,,
"Germany
德國","University of Augsburg
奧格斯堡大學",N/A,10 sem. slots,"全校大學部及碩班學生
U-wide UG & Master students",德檢German B2/iBT72/IELTS5.5/TOEIC Listening400+Reading 385,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Courses for Exchange Students,,,,,,,,,,,,,,,,,,
"Germany
德國","RWTH Aachen University
阿亨工業大學",99,5 students,"全校大學部三年級以上及研究所學生
U-wide UG yr.3 above & PG students","TestDaF 4/iBT72/
IELTS5.5",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,5 students,電機院、資訊院大學部三年級以上及研究所學生 UG yr. 3 above & PG students of the College of ECE and CS,,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Exchange to the Faculty of Electrical Engineering and Information Technology,,,,,,,,,,,,,,,,,,
"Germany
德國","Darmstadt University of Applied Sciences (h_da)
達姆施塔特應用技術大學",N/A,4 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",Recommend iBT72/IELTS5.5,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"Students can exchange to the following faculty
Faculty of Science: Chemistry, Computer Science, Mathematics, Physics 
Jean Monnet Faculty: Law, Economics & Management
Polytech Paris-Saclay: Engineering and Technology, Physics",,,,,,,,,,,,,,,,,,
"Germany
德國","SRH University Heidelberg
海德堡應用技術大學",N/A,"Business: 2 semester slots
Engineering & Architecture: 2 semester slots","全校大學部及研究所學生
U-wide UG & PG students
(大學部學生須有商管或國際關係背景，碩士班學生須有工程/電腦/資訊或建築背景
Bachelor students with business/management/international relation background; Master students with engineering/computer science/information technology/architecture background)",德檢German B2 or iBT79/IELTS6.5,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"申請此校需繳交符合背景之說明文件
Students applying to this university must submit a document proving fulfillment of background requirement",,,,,,,,,,,,,,,,,,
"Germany
德國","Technical University of Munich 
慕尼黑工業大學",28,7 sem. slot,"電機、資訊學院大學部及研究所學生
UG & PG students of the College of Electrical & Computer Egineering and College of Computer Science","UG: German or English B1 (iBT42/IELTS4.5/TOEIC L275 R275 S120 W120)
PG: English B1 (iBT42/IELTS4.5/TOEIC L275 R275 S120 W120)",GPA3.0/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"TUM field of study: 0713 Electricity and Energy
交換至 exchange to Dept. of Electrical and Computer Engineering",,,,,,,,,,,,,,,,,,
"Germany
德國","Heidelberg University
海德堡大學",84,"3/sem.
(Molecular Biosciences: up to 1 student)","限定領域大三以上及碩士班學生
UG yr.3 above & Master students of specific fields of studies",German B2 or iBT90/IELTS6.5 for Molecular Biosciences only,GPA3.3/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"僅Molecular Biosciences為英語授課，其餘皆為德文授課
Specific fields of studies: Medicine, Public Health, Dentistry, Medical Biometry and Bioinformatics, Biophysics and Theoretical Physics, Biophotonics, Neuroscience, Natural Sciences",,,,,,,,,,,,,,,,,,
"Germany
德國","Universität Mannheim
曼漢姆大學",487,5 sem. slots,"管、理、資訊院大學部二年級以上及碩班學生
UG yr.2 & Master students of the College of Management, Science & Computer Science",德檢German B2 or iBT80/IETLS6.0,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,, Baden-Württemberg Scholarship Program,,,,,,,,,,,,,,,,,,
,,,,,,,"以資管所、資財系、應數系所、統計所、資工系所學生為優先，其餘學生須提出資訊或數學相關背景證明。交換至該校School of Business Informatics & Mathematics。
Mainly for students with major in info. mgt (PG), info. & finance mgt. (UG), applied math, statistics & cs; other students need to submit proof of knowledge in field of",,,,,,,,,,,,,,,,,,
"Germany
德國","Technische Universität Berlin (TU Berlin)
柏林工業大學",147,4 sem. slots,"全校大學部二年級以上及碩班學生
U-wide UG yr.2 above & Master students","德文B2/iBT87/
IELTS5/TOEIC605",,參考網頁 Link,,,,,,,,,,,,,,,,,,
"Germany
德國","Technical University of Dresden
德勒斯登工業大學",234,5 sem. slots,"全校大學部三年級以上及碩班學生(不包含醫學院)
U-wide UG yr.3 above & Master students
excluding School of Medicine",German or English B1,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Info Sheet,,,,,,,,,,,,,,,,,,
"Hungary
匈牙利","Eötvös Loránd University (ELTE)
羅蘭大學",564,4 sem. slot,"全校大學部二年級以上及研究所學生
U-wide UG yr.2 above & PG students",建議 English B2,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"Fact Sheet
Course List",,,,,,,,,,,,,,,,,,
"The Netherlands
荷蘭","Radboud University
拉德堡德大學
(原奈美恩大學)",272,4 sem. slots,"管院大學部二年級以上及碩班學生
UG yr.2 above & Master students of the College of Management","UG: iBT80/IELTS6/ TOEIC670(LR)260(SW) 
PG: iBT90(sub scores: min. 22)/IELTS6.5(sub scores: min. 6.0, writing sub score: min. 6.5)/ TOEIC720(LR)310(SW)",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"赴該校修習研究所課程者，外語檢定成績須達iBT90/IELTS6.5，未達上述標準但符合iBT80/IELTS6以上之研究所學生僅可赴該校修習大學部課程，須於其他有利審查文件中檢附所屬系所承認大學部課程為""專業課程""方可申請；大學部學生不得修習研究所課程 UG students cannot take PG-level courses",,,,,,,,,,,,,,,,,,
"The Netherlands
荷蘭","University of Groningen
葛洛寧恩大學",159,4 sem. slot,"管院大學部三年級以上及研究所學生
UG yr.3 above & PG students of the College of Management","UG: iBT80(S&W20+)/IELTS6(S6+,W5.5+)",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,"PG: iBT90(S20+, W24+)/IELTS6.5(S6+,W6.5+)",,Academic Calendar,,,,,,,,,,,,,,,,,,
,,,,,,,PG: 大學主修須為商管相關 Must be graduated from Economics and business related bachelor degree,,,,,,,,,,,,,,,,,,
"The Netherlands
荷蘭","University of Twente
湍特大學",233,10 sem. slots,"全校大學部二年級以上及碩班學生
U-wide UG yr.2 above & Master students","iBT80/IELTS6/
TOEIC670(with S&W and L&R)",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"Poland
波蘭","University of Warsaw
華沙大學",258,8 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",B2: 波蘭文或英文Polish or English (iBT87/IELTS6),,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,anguage certificates approved by UW,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Course Catalog,,,,,,,,,,,,,,,,,,
,,,,,,,該校較少理工領域系所 Limited number of programs in engineering,,,,,,,,,,,,,,,,,,
"Sweden
瑞典","KTH Royal Institute of Technology
皇家理工學院",74,4 sem. slots,"理工領域大學部三年級以上及碩班學生
UG yr.3 above & Master students in fields of Science & Technology",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,New rule for passport check when applying for residence permit,,,,,,,,,,,,,,,,,,

,,,,,,,"至少50%之課程須於申請之系所修習 At least 50% of the courses has to be taken within the faculty applying to
大學部課程(第1-3年)為瑞典語授課、研究所課程(第4-5年)為英語授課 Bachelor courses (year 1-3) are taught in Swedish, Master courses (year 4-5) are taught in English",,,,,,,,,,,,,,,,,,
"Sweden
瑞典","Chalmers University of Technology
查默斯理工大學",139,"Fall: 10 sem. slots
Spring: 10 sem. slots","理工領域大學部四年級以上及碩班學生
UG yr.4 above & Master students in fields of Science & Technology",recommend English B2,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,New rule for passport check when applying for residence permit,,,,,,,,,,,,,,,,,,
,,,,,,,僅限具有理工領域背景同學申請(研究所學生: 大學部務必主修理工相關) Students without science and engineering background cannot apply (PG students must have major in Engineering/Technolgy in UG studies) 所有碩班課程為英語授課 All Master's programs are taught in English,,,,,,,,,,,,,,,,,,
"Sweden
瑞典","Linköping University
林雪平大學",304,10 sem. slots,"理工領域大學部三年級以上及碩班學生
UG yr.3 & Master students in fields of Science & Technology",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,New rule for passport check when applying for residence permit,,,,,,,,,,,,,,,,,,
,,,,,,,赴該校理工學院交換 Exchange to the Faculty of Science & Engineering,,,,,,,,,,,,,,,,,,
"Switzerland
瑞士","Zurich University of Applied Science
蘇黎世應用科學大學",781-790,"UG: 6 sem. slots
PG: 2 sem. slots","管院大學部及研究所學生
UG & PG students of the College of Management","TOEFL IBT: 83
 (spoken min. score 18)
IELTS: 5.5
",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Video introduction,,,,,,,,,,,,,,,,,,
,,,,,,,Brochure,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Course selection,,,,,,,,,,,,,,,,,,
"Switzerland
瑞士","Swiss Federal Institute of Technology in Zurich
(ETH Zurich)
蘇黎世聯邦理工學院",7,2 sem. slots,"資訊學院大學部以及研究所學生
UG & PG students of College of Computer Science",Recommend iBT72/IELTS5.5,GPA3.0/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Exchange to the Department of Computer Science,,,,,,,,,,,,,,,,,,
"Norway
挪威","University of Agder
阿格德爾大學",N/A,10 students,"全校大學部及研究所學生
U-wide UG & PG students",建議 Recommend above: 英文B2以上,,參考網頁 Link,,,,,,,,,,,,,,,,,,
"Italy
義大利","Università di Padova
帕多瓦大學",236,6 sem. slots,"理學院大學部及研究所學生 
 UG & PG students of College of Science","義大利文A2/
iBT42/IELTS4",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Exchange to Department of Chemical Sciences,,,,,,,,,,,,,,,,,,
,,,6 sem. slots,"電機學院大學部及研究所學生 
UG & PG students of the College of ECE","義大利文A2/
iBT42/IELTS4",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Exchange to Department of Information Engineering,,,,,,,,,,,,,,,,,,

"Italy
義大利","University of Brescia
佈雷西亞大學",691-700,6 sem. slots,"資訊、電機學院大學部及研究所學生
UG & PG students of the College of CS and ECE        ",IELTS 4.5/iBT50,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Exchange to Department of Information Engineering,,,,,,,,,,,,,,,,,,
"Italy
義大利","Politecnico di Milano (Polimi)
米蘭理工大學",111,3 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students","建議 Recommend
義大利文B1 and iBT72/IELTS5.5",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Information Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"交換至該校 Exchange to:
School of Industrial and Information Engineering",,,,,,,,,,,,,,,,,,
"Italy
義大利","University of Parma (UNIPR)
帕爾馬大學",951-1000,10 sem. slots,"電機、資訊、工、理、管及人社院大學部及研究所學生
UG & PG students of the College of ECE, CS, Engineering, Science, Management and Humanities & Social Sciences","義大利文A2/
iBT42/IELTS4",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"交換至該校 Exchagne to:
Dept. of Enginerring and Architecture
Dept. of Chemistry, Life Sciences and Environmental Sustainability
Dept. of Economics and Management
Dept. of Humanities, Social Sciences and Cultural Industries",,,,,,,,,,,,,,,,,,
"Lithuania
立陶宛","Vilnius Gediminas Technical University (VGTU)
維爾紐斯格迪米尼茲科技大學",851-900,2/semester,"全校大學部及研究所學生
U-wide UG & PG students",IELTS 5.5/TOEFL iBT 72/TOEIC 785,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Info. Brochure,,,,,,,,,,,,,,,,,,
"Lithuania
立陶宛","Vilnius University
維爾紐斯大學",439,6 sem. slot,"全校大學部及研究所學生
U-wide UG & PG students",iBT72/IELTS5.5/TOEIC785,,參考網頁 Link,,,,,,,,,,,,,,,,,,
"Spain
西班牙","Universidad de Sevilla
塞維亞大學",462,4 sem. slots,"全校大學部二年級以上及研究所學生
U-wide UG yr.2 & above & PG students",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
"Spain
西班牙","Universidad Carlos III de Madrid (UC3M)
馬德里卡洛斯三世大學",285,1/sem,"全校大學部二年級以上學生
U-wide UG yr.2 & above students",建議英文或西文B2以上,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,fact sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Course offer in Getafe,,,,,,,,,,,,,,,,,,
,,,,,,,Course Offer in Leganes ,,,,,,,,,,,,,,,,,,
,,,,,,,僅限大學部學生申請 UG students only,,,,,,,,,,,,,,,,,,
"Spain
西班牙","Universitat de Barcelona
巴塞隆納大學",165,4 sem. slots,"生科院大學部及碩士班學生
UG and Master students of the College of Biological Science and Technology","英文或西文B1以上
(iBT42/IELTS4
/TOEIC550)",,參考網頁 Link,,,,,,,,,,,,,,,,,,
"Spain
西班牙","Universitat Autònoma de Barcelona
巴塞隆納自治大學",175,2 sem. slots,"電機、資訊、理學院大學部學生
UG students of the College of ECE, CS, Science","iBT79/IELTS6.5/
DELE B2",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"交換至exchange to School of Engineeirng (Computer Engineering & Chemical Engineering), 至少50%的課在該學院修讀 take at least 50% of courses from above school",,,,,,,,,,,,,,,,,,
"Spain
西班牙","Universidad de Alcalá
阿爾卡拉大學",621-630,4 sem. slots,"理工領域大學部及研究所學生
UG students & Master students in fields of Science & Technology",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"Exchange to Degrees in Engineering, the Degree in Mathematics and Computing, and the Double Degree in Computer Engineering and Business Administration and Management at the University of Alcala and students enrolled in fields related to Engineering and Technology",,,,,,,,,,,,,,,,,,
"Spain
西班牙","Universitat Politècnica de Catalunya 
BarcelonaTech (UPC)
加泰隆尼亞理工大學",371,8 students,"全校大學部及碩士班學生
U-wide UG & Master students ",,,"參考網頁 Link
1 student from the following Colleges/Departments is eligible for Erasmus+ scholarship: IAIS, BSE, BST, Material Science & Mechanical Engineering",,,,,,,,,,,,,,,,,,
"New Zealand
紐西蘭","Auckland University of Technology
奧克蘭理工大學",412,"UG: 1 sem. slots
PG: 1 sem. slots","管院大學部二年級以上及碩班學生
UG yr.2 above & PG tudents of the College of Management","UG: iBT80 (R19/L19/S20/W22/ IELTS6 (all bands 5.5+)
PG: iBT90 (R20/L20/S20/W24) /IELTS6.5 (all bands 6+)",GPA3.3/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"赴該校商學院交換 Exchange to the Faculty of Business, Economics and Law",,,,,,,,,,,,,,,,,,
"French Polynesia
法屬玻里尼西亞","The University of French Polynesia (UPF)
法屬玻里尼西亞大學",N/A,2/semester,"全校大學部及研究所學生
U-wide UG & PG students",recommended English B1/B2,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"位於大溪地；大部分法語授課，交換生可修少部分之英語課程
Located in Tahiti; courses are taught in French; exchange students can take some English-taught courses in the field of English Language Studies",,,,,,,,,,,,,,,,,,
"Canada
加拿大","Polytechnique Montréal
蒙特婁理工學院",159,"spring: 5 students
(Software and Computing Cluster) ","UG yr.3 above & PG students in the field of Engineering
理工領域大學部三年級以上及研究所學生","Recommended levels: IELTS (academic), 6.5 (no portion< 5.5) / iBT: 90 (W>20).",GPA2.7/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,"F: 5 students
(International Thematic Clusters in Engineering)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Brochure,,,,,,,,,,,,,,,,,,
,,,,,,,"Choose a cluster:
1.Emerging Biomedical Technologies
2.Energy Systems
3.Engineering Physics
4.Industrial & Systems Engineering
5.Materials Science & Engineering
6.Resources Infrastructures
7.Software
8.Sustainable Development
9.Sustainable Transport",,,,,,,,,,,,,,,,,,
