"*根據2024 QS世界大學排名，本校排名為219。Based on 2024 QS World University Ranking, NYCU is ranked 217th.",,,,,Last Update,2024/12/4,,,,,,,,,,,,,,,,,,,
"***系所年級/語言能力/在校成績限制依照姐妹校規定表述，但姐妹校可能隨時調整規定，請依照姐妹校官網為準。系所以主修或雙主修為準，年級以出國交換時之年級為準。All requirements are set by partner institutions; however, institutions can update their requirements from time to time. Please refer to their website for most updated information. Double major can be used to fuifill the home department requirements. The year of study requirment refers to the year of study during exchange.",,,,,,,,,,,,,,,,,,,,,,,,,
紫色字體校名者為「拓荒者計畫」學校，率取且符合本校出國交換獎學金標準之學生，可優先獲得較高額補助。Instiition names in purple are part of the Trailblazer program that students accepted and fulfilled NYCU's requirements of the outbound exchange student scholarships will be granted higher amount of scholarships.,,,,,,,,,,,,,,,,,,,,,,,,,

"國家
Country","學校
Institution","排名*
Ranking","名額**
Quota","系所年級限制***
Eligibility","語言能力限制***
Language Requirement","成績限制***
Grade Requirement","備註
Remarks",,,,,,,,,,,,,,,,,,
,,,,,,,"需額外申請文件 
Extra application document is required
若志願序包含此校，請多上傳一份文件說明欲申請此校何種計畫並檢視是否符合該計畫各項規定 
Please confirm if you meet the requirements of the program of your choice, and upload a statement of which program you would like to apply for and that you fulfill all its requirements.",,,,,,,,,,,,,,,,,,
"Japan
日本","University of Tsukuba
筑波大學",377,8 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",College of Japanese Language & Culture: JLPT N2,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"Japan
日本","The University of Tokyo 
東京大學",32,2 sem. slots,"全校大學部三年級以上及研究所學生
U-wide UG yr.3 and above & PG students","Type U: JLPT N1/ iBT90/IELTS6.5 
Type G: varies by each Graduate School","Type G: varies by each Graduate School
Link Brochure
PG Eligibility",參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,研究生申請條件 PG Eligibility,,,,,,,,,,,,,,,,,,

,,,,,,,需額外申請文件 Extra application document is required,,,,,,,,,,,,,,,,,,
"Japan
日本","Kanazawa University
金澤大學",901-950,5 students,"全校大學部及研究所學生
U-wide UG & PG students","JLPT N2/iBT60/
IELTS5.5/TOEIC600",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,KUEP Brochure Part 1,,,,,,,,,,,,,,,,,,
,,,,,,,KUEP Brochure Part 2,,,,,,,,,,,,,,,,,,
,,,,,,,需額外申請文件 Extra application document is required,,,,,,,,,,,,,,,,,,
"Japan
日本","Kyoto Institute of Technology
京都工藝纖維大學",1201-1400,2 sem. slots,"全校大學部以及研究所學生
U-wide UG & PG students",please see fact sheet,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"Japan
日本","Hokkaido University
北海道大學",173,5 students,"全校大學部三年級以上及研究所學生
U-wide UG Yr.3 above & PG students

HUSTEP and JLCSP: Only for Undergraduate students Yr. 3 or above
SA/SRS: Undergraduate students Yr. 2 or above and Postgraduate students (Master, PhD)
","HUSTEP: TOEFL(iBT): 79 or above, IELTS Academic: 6.5 or above

JLCSP: JLPT:N3 or above

SA/SRS: JLPT: N2 pr above (SA undergraduate students), Fluent in either Japanese or English. (SA postgraduate students and SRS)
","HUSTEP: 3.3/4.3 (GPA)

JLCSP: Applicants must possess a good academic record at university level.

SA/SRS: Applicants must possess a high academic record at university level.
",參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,fact sheet,,,,,,,,,,,,,,,,,,
,,,,,,,HUSTEP 23/24 Brochure,,,,,,,,,,,,,,,,,,
,,,,,,,"1 HUSTEP 1 year: 1 or 2 students
2 HUSTEP fall sem: 1 or 2 students
3 HUSTEP spring sem: 1 or 2 students
4 JLCSP 1 year :In principal, 1student
5 JLCSP fall sem: In principal,1student
6 JLCSP spring sem: In principal,1student
7 SAS/SRS:up to 5 students",,,,,,,,,,,,,,,,,,
,,,,,,,"需額外申請文件 
Extra application document is required
若志願序包含此校，請多上傳一份文件說明欲申請此校何種計畫並檢視是否符合該計畫各項規定 
Please confirm if you meet the requirements of the program of your choice, and upload a statement of which program you would like to apply for and that you fulfill all its requirements.",,,,,,,,,,,,,,,,,,
"Japan
日本","Kindai University
近畿大學",1201-1400,4 sem. slots,"全校大學部學生
U-wide UG students",iBT61/JLPT N2,GPA2.7/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"僅可交換一學期；未曾於日本就學者；不接受畢業前最後一學期學生交換 
only 1-sem. exchange; for students who have never studied in Japan; students in last semester before graduation not accepted",,,,,,,,,,,,,,,,,,
"Japan
日本","Saitama University
埼玉大學",1201-1400,3 sem. slots,"理學院研究所學生
PG students of the College of Science","TOEFL iBT 72; IELTS 5.5 (CEFR B2) or Equivalent
JLPT N2 or Equivalent",GPA2.58/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"赴該校理工研究所交換 
Exchange to the Graduate School of Science & Engineering",,,,,,,,,,,,,,,,,,
"Japan
日本","The University of Electro- Communications (UEC)
電氣通信大學",N/A,5 students,"理工領域大三以上及研究所學生
UG yr. 3 and PG students in field of Science & Engineering",iBT79/IELTS6.5,GPA3.3/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
"Japan
日本","Nagasaki University
 長崎大學",851-900,5 students,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",Student Exchange Program: varies for different departments,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,JLCP: N3 or above,,"大學部多為日語授課, 有些研究生院有英語授課 The courses are taught in Japanese in most undergraduate programs; some courses are taught in English in graduate schools.
研究所學生交換無法獲得學分
PG exchange students cannot obtain credits",,,,,,,,,,,,,,,,,,
"Japan
日本"," Kumamoto University
熊本大學",951-1000,6 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",,,"Program Brochure
fact sheet",,,,,,,,,,,,,,,,,,
"Korea
韓國","Chung-Ang University
中央大學",489,2/sem.,"全校大學部及碩士班學生
U-wide UG & Master students",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,2 sem. slots,"社文所、亞際學程之研究所學生
PG students of the Institute of Social Research and Culture Studies and International Center for Cultural Studies",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"交換至該校社會學系
Exchange to the Department of Sociology",,,,,,,,,,,,,,,,,,
"Korea
韓國","Hanyang University
漢陽大學",162,"Seoul Campus: 2 sem. slot
(Exclude: Medicine, Nursing)","全校大學部及碩班學生
U-wide UG & Master students","IELTS5.5/iBT72/
TOEIC785/
TOPIK Level 4",GPA2.6/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,"ERICA Campus: 2 sem. slots
(Exclude: Pharmacy, Applied Music, Dance & Performing Arts, Accounting & Tax)        ","全校大學部及碩班學生
U-wide UG & Master students","IELTS5.5/iBT72/
TOEIC785/
TOPIK Level 4",GPA2.6/4.3,課程列表 Course Catalog,,,,,,,,,,,,,,,,,,
,,,,,,,可交換院系 Available College and Dep.,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"研究所學生僅可申請至首爾校區並修讀大學部課程
PG student can only apply to Seoul Campus and enroll in UG programs. 
Seoul campus only accepts undergraduate students for exchange program",,,,,,,,,,,,,,,,,,
"Korea
韓國","Chungnam National University
忠南國立大學",851-900,10 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",建議Recommend: TOPIK3,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"Korea
韓國","Sungkyunkwan University
成均館大學",123,4 sem. slot,"全校大學部及研究所學生
U-wide UG & PG students",Business Administration majors: iBT80/ IELTS6/ English B2/ TOPIK 3,GPA2.7/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"Korea
韓國","Seoul National University
首爾國立大學",31,6 sem. slots,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students","建議 Recommend
iBT88/IELTS6/
TOPIK5","UG: GPA2.7/4.3
PG: GPA3.3/4.3",參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,FAQ,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"Korea
韓國","Sogang University
西江大學",576,2/sem.,"全校大學部及研究所學生
U-wide UG & PG students","建議 Recommend
English courses: iBT79/IELTS6.5
Korean courses: TOPIK Level 4",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Information Sheet,,,,,,,,,,,,,,,,,,
"Korea
韓國","Konkuk University
建國大學",721-730,2/sem.,"全校大學部學生
U-wide UG students",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Courses Taught in English,,,,,,,,,,,,,,,,,,
